putativeCellType,geneticLine,acgPeak,troughtToPeak,brainRegion,lightResponse,rateDuringRipples,preferedThetaphase,thetaModulation,sessionName
Pyramidal Cell,id2/dlx/ai80,2.22,0.733333333333333,CA1sp,0,3.37203302024724,2.88597869970479,0.137283568451905,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.34,0.683333333333333,CA3,0,6.73555553237827,2.43432450772993,0.149737587900888,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.716666666666667,CA1sp,0,-1.8524199571186,2.44004631229905,0.12725284796409,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.775,CA1sp,0,0.711421348616824,2.25396149153386,0.14455290987251,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,1.98,0.758333333333333,CA1sp,0,-2.26143695223184,3.37303402735422,0.245688024186294,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,1.34,0.5,CA1sp,1,-3.34817234350458,4.53928251608066,0.0109591341615757,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.766666666666667,CA1sp,0,2.47699100466336,2.18004888573531,0.0659610395576576,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,2.1,0.383333333333333,CA1sp,0,-3.85514414244252,1.59744333438551,0.168204666881634,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.741666666666667,CA1sp,0,10.1481325026349,2.77453367297759,0.119819798512369,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,2.1,0.3,CA1sp,0,-0.554025978933325,1.43910543522724,0.245469298203779,fnkx8_200911_sess19
Wide Interneuron,id2/dlx/ai80,1.62,0.55,CA3,0,-1.44431674258282,4.80582520857344,0.149779060776413,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.75,CA1sp,0,-0.216435123583863,2.79452110186888,0.219566872726811,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.75,CA1sp,0,-0.681340076179873,3.27021241234032,0.232155790706972,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.741666666666667,CA1sp,0,1.60517491808229,2.14770645606494,0.0670876584296236,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.608333333333333,CA1sp,1,2.41923811781342,2.84481975832169,0.103720248197632,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.758333333333333,CA1sp,0,-0.524880647258476,2.74938266154024,0.152334716378805,fnkx8_200911_sess19
